arm,towers,sockets,shape,entry,meanDepth,lane0Leak,lane1Leak,totalLeak
C,3,L0S2|L1S0|L1S1,1-2-0,1.50,6.000,17,1,18
C,3,L0S2|L1S0|L1S2,1-2-0,1.50,7.000,17,2,19
C,3,L0S2|L1S0|J,1-1-1,1.50,6.000,17,1,18
C,3,L0S2|L1S1|L1S2,1-2-0,1.50,8.000,17,1,18
C,3,L0S2|L1S1|J,1-1-1,1.50,7.000,17,8,25
C,3,L0S2|L1S2|J,1-1-1,1.50,8.000,17,3,20
C,3,L1S0|L1S1|L1S2,0-3-0,1.50,6.000,17,0,17
C,3,L1S0|L1S1|J,0-2-1,1.50,5.000,17,0,17
C,3,L1S0|L1S2|J,0-2-1,1.50,6.000,17,0,17
C,3,L1S1|L1S2|J,0-2-1,1.50,7.000,17,0,17
C,4,L0S0|L0S1|L0S2|L1S0,3-1-0,4.00,5.250,0,10,10
C,4,L0S0|L0S1|L0S2|L1S1,3-1-0,4.00,6.000,0,9,9
C,4,L0S0|L0S1|L0S2|L1S2,3-1-0,4.00,6.750,0,9,9
C,4,L0S0|L0S1|L0S2|J,3-0-1,4.00,6.000,0,11,11
C,4,L0S0|L0S1|L1S0|L1S1,2-2-0,4.00,4.500,10,2,12
C,4,L0S0|L0S1|L1S0|L1S2,2-2-0,4.00,5.250,10,2,12
C,4,L0S0|L0S1|L1S0|J,2-1-1,4.00,4.500,10,2,12
C,4,L0S0|L0S1|L1S1|L1S2,2-2-0,4.00,6.000,10,2,12
C,4,L0S0|L0S1|L1S1|J,2-1-1,4.00,5.250,10,7,17
C,4,L0S0|L0S1|L1S2|J,2-1-1,4.00,6.000,10,2,12
C,4,L0S0|L0S2|L1S0|L1S1,2-2-0,4.00,5.250,11,2,13
C,4,L0S0|L0S2|L1S0|L1S2,2-2-0,4.00,6.000,11,2,13
C,4,L0S0|L0S2|L1S0|J,2-1-1,4.00,5.250,8,2,10
C,4,L0S0|L0S2|L1S1|L1S2,2-2-0,4.00,6.750,11,2,13
C,4,L0S0|L0S2|L1S1|J,2-1-1,4.00,6.000,8,7,15
C,4,L0S0|L0S2|L1S2|J,2-1-1,4.00,6.750,8,2,10
C,4,L0S0|L1S0|L1S1|L1S2,1-3-0,4.00,5.250,16,0,16
C,4,L0S0|L1S0|L1S1|J,1-2-1,4.00,4.500,14,0,14
C,4,L0S0|L1S0|L1S2|J,1-2-1,4.00,5.250,14,0,14
C,4,L0S0|L1S1|L1S2|J,1-2-1,4.00,6.000,14,0,14
C,4,L0S1|L0S2|L1S0|L1S1,2-2-0,4.00,6.000,7,2,9
C,4,L0S1|L0S2|L1S0|L1S2,2-2-0,4.00,6.750,7,2,9
C,4,L0S1|L0S2|L1S0|J,2-1-1,4.00,6.000,5,2,7
C,4,L0S1|L0S2|L1S1|L1S2,2-2-0,4.00,7.500,7,2,9
C,4,L0S1|L0S2|L1S1|J,2-1-1,4.00,6.750,5,7,12
C,4,L0S1|L0S2|L1S2|J,2-1-1,4.00,7.500,5,2,7
C,4,L0S1|L1S0|L1S1|L1S2,1-3-0,4.00,6.000,16,0,16
C,4,L0S1|L1S0|L1S1|J,1-2-1,4.00,5.250,16,0,16
C,4,L0S1|L1S0|L1S2|J,1-2-1,4.00,6.000,16,0,16
C,4,L0S1|L1S1|L1S2|J,1-2-1,4.00,6.750,16,0,16
C,4,L0S2|L1S0|L1S1|L1S2,1-3-0,4.00,6.750,17,0,17
C,4,L0S2|L1S0|L1S1|J,1-2-1,4.00,6.000,15,0,15
C,4,L0S2|L1S0|L1S2|J,1-2-1,4.00,6.750,15,0,15
C,4,L0S2|L1S1|L1S2|J,1-2-1,4.00,7.500,15,0,15
C,4,L1S0|L1S1|L1S2|J,0-3-1,4.00,6.000,17,0,17

# Depth compared within a fixed board shape (towers in lane 0 - lane 1 - junction).
# deepMinusShallow > 0 means deep placement leaked MORE, i.e. shallow won.
arm,towers,shape,entry,configs,shallowestLeak,deepestLeak,deepMinusShallow
A,2,0-1-1,0.00,3,19.0,20.0,1.0
A,2,0-2-0,0.00,3,18.0,18.0,0.0
A,2,1-0-1,0.00,3,21.0,26.0,5.0
A,2,1-1-0,0.00,9,23.0,26.0,3.0
A,2,2-0-0,0.00,3,15.0,16.0,1.0
A,3,0-2-1,1.00,3,17.0,17.0,0.0
A,3,1-1-1,1.00,9,19.0,20.0,1.0
A,3,1-2-0,1.00,9,17.0,18.0,1.0
A,3,2-0-1,1.00,3,13.0,15.0,2.0
A,3,2-1-0,1.00,9,12.0,14.0,2.0
A,4,1-2-1,2.00,9,14.0,16.0,2.0
A,4,1-3-0,2.00,3,16.0,17.0,1.0
A,4,2-1-1,2.00,9,5.0,6.0,1.0
A,4,2-2-0,2.00,9,6.0,6.0,0.0
A,4,3-1-0,2.00,3,10.0,9.0,-1.0
B,2,0-1-1,0.00,3,19.0,20.0,1.0
B,2,0-2-0,0.00,3,18.0,18.0,0.0
B,2,1-0-1,0.00,3,21.0,26.0,5.0
B,2,1-1-0,0.00,9,23.0,26.0,3.0
B,2,2-0-0,0.00,3,15.0,16.0,1.0
B,3,0-2-1,1.00,3,17.0,17.0,0.0
B,3,1-1-1,1.00,9,19.0,20.0,1.0
B,3,1-2-0,1.00,9,17.0,18.0,1.0
B,3,2-0-1,1.00,3,13.0,15.0,2.0
B,3,2-1-0,1.00,9,12.0,14.0,2.0
B,4,1-2-1,2.50,9,15.0,15.0,0.0
B,4,1-3-0,2.50,3,16.0,17.0,1.0
B,4,2-1-1,2.50,9,8.0,5.0,-3.0
B,4,2-2-0,2.50,9,10.0,6.0,-4.0
B,4,3-1-0,2.50,3,10.0,9.0,-1.0
C,2,0-1-1,0.00,3,19.0,20.0,1.0
C,2,0-2-0,0.00,3,18.0,18.0,0.0
C,2,1-0-1,0.00,3,21.0,26.0,5.0
C,2,1-1-0,0.00,9,23.0,26.0,3.0
C,2,2-0-0,0.00,3,15.0,16.0,1.0
C,3,0-2-1,1.50,3,17.0,17.0,0.0
C,3,1-1-1,1.50,9,17.0,20.0,3.0
C,3,1-2-0,1.50,9,17.0,18.0,1.0
C,3,2-0-1,1.50,3,13.0,15.0,2.0
C,3,2-1-0,1.50,9,15.0,14.0,-1.0
C,4,1-2-1,4.00,9,14.0,15.0,1.0
C,4,1-3-0,4.00,3,16.0,17.0,1.0
C,4,2-1-1,4.00,9,12.0,7.0,-5.0
C,4,2-2-0,4.00,9,12.0,9.0,-3.0
C,4,3-1-0,4.00,3,10.0,9.0,-1.0

# Mean of the above per arm. The pre-committed reading in prototype/VALIDATION.md:
# if deep placement wins across every arm, fix socket geometry before the march curve.
arm,shapesCompared,meanDeepMinusShallow,verdict
A,15,1.267,shallow wins
B,15,0.600,shallow wins
C,15,0.533,shallow wins
